modem;baslangic;bitis;sure
000173;2022-01-01 07:43:32.657;2022-01-01 07:59:35.337;16
981367;2022-01-01 07:43:42.660;2022-01-01 07:58:34.233;14
507518;2022-01-01 08:08:47.037;2022-01-01 08:09:46.017;0
609269;2022-01-01 08:29:11.077;2022-01-01 08:31:32.847;2
500228;2022-01-01 08:29:07.200;2022-01-01 08:30:40.300;1
609247;2022-01-01 08:29:07.807;2022-01-01 08:30:38.727;1
533013;2022-01-01 08:06:11.617;2022-01-01 08:30:39.987;24
608395;2022-01-01 08:29:10.293;2022-01-01 08:30:39.217;1
510099;2022-01-01 08:29:09.967;2022-01-01 08:31:28.893;2
514513;2022-01-01 08:29:10.777;2022-01-01 08:30:39.130;1
510134;2022-01-01 08:29:06.933;2022-01-01 08:30:37.753;1
514002;2022-01-01 08:29:10.840;2022-01-01 08:30:38.550;1
510049;2022-01-01 08:29:10.327;2022-01-01 08:31:28.673;2
509526;2022-01-01 08:29:10.137;2022-01-01 08:30:38.423;1
512243;2022-01-01 08:29:10.170;2022-01-01 08:30:37.847;1
502115;2022-01-01 08:29:08.700;2022-01-01 08:30:46.330;1
512553;2022-01-01 08:29:05.777;2022-01-01 08:30:38.563;1
508037;2022-01-01 08:29:08.810;2022-01-01 08:30:39.467;1
001071;2022-01-01 08:29:12.763;2022-01-01 08:30:39.543;1
531694;2022-01-01 08:29:07.573;2022-01-01 08:30:39.190;1
507037;2022-01-01 08:29:07.823;2022-01-01 10:32:03.650;122
502834;2022-01-01 08:35:57.833;2022-01-01 08:38:15.770;2
518542;2022-01-01 08:35:57.427;2022-01-01 08:37:11.547;1
508682;2022-01-01 08:35:57.270;2022-01-01 08:37:31.770;1
